"Date","Price","Open","High","Low","Vol.","Change %"
"08/03/2022","22,332.00","22,200.00","22,010.00","22,050.00","4.54K","-0.71%"
"08/02/2022","22,492.00","22,900.00","22,850.00","22,850.00","6.24K","-4.59%"
"08/01/2022","23,575.00","24,350.00","24,100.00","24,150.00","9.90K","-0.19%"
"07/29/2022","23,619.00","22,150.00","22,000.00","22,025.00","10.95K","7.68%"
"07/28/2022","21,935.00","21,650.00","21,505.00","21,510.00","6.80K","1.08%"
"07/27/2022","21,700.00","21,732.50","22,023.00","21,343.50","","0.13%"
"07/26/2022","21,672.00","22,686.50","22,784.50","21,477.50","","-1.95%"
"07/25/2022","22,102.00","21,599.50","22,634.50","21,416.50","","-1.21%"
"07/22/2022","22,373.50","21,646.50","22,387.00","21,511.00","","3.52%"
"07/21/2022","21,613.00","21,261.50","21,619.50","20,561.50","","2.27%"
"07/20/2022","21,133.50","21,264.00","21,711.00","20,990.50","","2.14%"
"07/19/2022","20,690.00","20,149.50","21,446.50","20,030.50","","0.56%"
"07/18/2022","20,575.00","19,871.50","20,883.00","19,524.50","","3.90%"
"07/15/2022","19,802.00","18,354.00","19,848.00","18,256.00","","3.07%"
"07/14/2022","19,212.00","20,546.00","20,620.00","19,197.00","","-8.63%"
"07/13/2022","21,026.50","21,814.50","21,837.50","20,830.00","","-1.44%"
"07/12/2022","21,334.00","21,590.00","21,760.50","21,329.50","","-2.50%"
"07/11/2022","21,880.00","21,301.50","21,896.50","21,080.50","","1.39%"
"07/08/2022","21,581.00","21,300.00","21,100.00","21,200.00","","0.21%"
"07/07/2022","21,535.00","22,200.00","22,100.00","22,100.00","8.22K","-1.44%"
"07/06/2022","21,849.00","22,450.00","22,200.00","22,250.00","5.92K","-3.54%"
"07/05/2022","22,652.00","22,100.00","22,050.00","21,950.00","7.30K","0.68%"
"07/04/2022","22,499.00","22,850.00","22,700.00","22,750.00","3.64K","3.09%"
"07/01/2022","21,824.00","21,750.00","21,750.00","21,700.00","8.20K","-3.85%"
"06/30/2022","22,698.00","23,020.00","23,020.00","23,020.00","8.38K","-4.52%"
"06/29/2022","23,773.00","24,950.00","24,700.00","24,700.00","11.56K","2.66%"
"06/28/2022","23,158.00","24,000.00","23,925.00","23,935.00","4.07K","1.21%"
"06/27/2022","22,882.00","23,450.00","23,445.00","23,450.00","6.50K","2.15%"
"06/24/2022","22,400.00","22,850.00","22,825.00","22,850.00","10.21K","-6.81%"
"06/23/2022","24,038.00","24,250.00","24,250.00","24,250.00","12.05K","-1.68%"
"06/22/2022","24,449.00","25,100.00","24,950.00","24,955.00","14.73K","-5.78%"
"06/21/2022","25,949.00","25,650.00","25,550.00","25,550.00","10.43K","0.82%"
"06/20/2022","25,738.00","25,400.00","25,500.00","25,400.00","3.23K","0.27%"
"06/17/2022","25,669.00","25,550.00","25,400.00","25,450.00","4.51K","1.62%"
"06/16/2022","25,259.00","25,625.00","25,600.00","25,625.00","5.65K","-2.31%"
"06/15/2022","25,857.00","25,900.00","25,650.00","25,700.00","6.82K","2.37%"
"06/14/2022","25,259.00","25,535.00","25,500.00","25,535.00","9.85K","-2.58%"
"06/13/2022","25,929.00","26,400.00","26,500.00","26,400.00","16.48K","-4.90%"
"06/10/2022","27,264.00","27,600.00","27,500.00","27,500.00","4.35K","-2.71%"
