Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,60.500000,61.490002,60.360001,61.459999,53.333473,11989200
2016-01-05,62.029999,63.049999,61.849998,62.919998,54.600407,13326000
2016-01-06,62.480000,63.950001,62.470001,63.549999,55.147114,16564600
2016-01-07,62.970001,65.230003,62.919998,65.029999,56.431416,26430000
2016-01-08,65.080002,65.410004,63.410000,63.540001,55.138439,17767900
2016-01-11,63.759998,64.470001,63.630001,64.220001,55.728523,12653800
2016-01-12,64.379997,64.730003,63.430000,63.619999,55.207859,12195900
2016-01-13,63.730000,63.730000,61.830002,61.919998,53.732639,13725700
2016-01-14,62.000000,63.619999,61.820000,63.060001,54.721909,12934900
2016-01-15,61.549999,62.470001,61.259998,61.930000,53.741314,15174400
2016-01-19,62.250000,62.799999,62.009998,62.560001,54.288025,13051300
2016-01-20,61.799999,62.330002,60.200001,60.840000,52.795448,17369100
2016-01-21,60.980000,62.790001,60.910000,61.880001,53.697937,12089200
2016-01-22,62.439999,63.259998,62.130001,62.689999,54.400829,9197500
2016-01-25,62.779999,63.820000,62.549999,63.450001,55.060337,12823400
2016-01-26,63.360001,64.470001,63.259998,64.000000,55.537621,9441200
2016-01-27,64.099998,65.180000,63.889999,63.950001,55.494232,10214300
2016-01-28,64.029999,64.510002,63.430000,64.220001,55.728523,11278300
2016-01-29,64.750000,66.529999,64.739998,66.360001,57.585556,16439100
2016-02-01,65.910004,67.930000,65.889999,67.500000,58.574825,14728400
2016-02-02,67.300003,67.839996,66.279999,66.860001,58.019459,13585900
2016-02-03,67.309998,67.500000,65.070000,66.269997,57.507465,12315600
2016-02-04,65.760002,66.550003,65.010002,66.419998,57.637627,12833400
2016-02-05,66.860001,67.529999,65.879997,67.000000,58.140953,14196500
2016-02-08,66.500000,67.150002,65.160004,66.900002,58.054157,20743600
2016-02-09,65.489998,66.410004,64.680000,65.809998,57.108284,14642400
2016-02-10,66.190002,66.589996,65.650002,65.790001,57.090935,9709300
2016-02-11,65.019997,65.760002,64.779999,65.320000,56.683079,11186700
2016-02-12,65.519997,66.250000,64.870003,66.180000,57.429367,9695500
2016-02-16,66.610001,66.800003,65.500000,65.900002,57.186390,11360500
2016-02-17,66.099998,66.610001,65.809998,66.110001,57.368633,12426700
2016-02-18,63.740002,64.779999,62.349998,64.120003,55.641750,27894600
2016-02-19,63.889999,64.769997,63.439999,64.660004,56.110348,15562300
2016-02-22,64.660004,66.139999,64.660004,65.629997,56.952084,10587300
2016-02-23,65.839996,66.599998,65.279999,66.480003,57.689705,11432000
2016-02-24,66.190002,67.330002,65.720001,67.120003,58.245075,10291200
2016-02-25,67.449997,68.129997,67.330002,68.040001,59.043442,9581300
2016-02-26,68.080002,68.199997,66.300003,66.510002,57.715733,10984300
2016-02-29,66.629997,66.949997,66.220001,66.339996,57.568203,9345200
2016-03-01,66.650002,66.889999,66.000000,66.459999,57.672340,10429500
2016-03-02,66.209999,66.669998,66.000000,66.209999,57.455399,9165600
2016-03-03,65.949997,66.199997,64.879997,66.139999,57.394657,11846800
2016-03-04,66.139999,67.279999,66.089996,66.779999,57.950024,10010500
2016-03-07,66.620003,68.480003,66.269997,67.889999,58.913273,12825400
2016-03-08,67.730003,68.470001,67.489998,68.040001,59.043442,10067900
2016-03-09,67.790001,67.989998,67.120003,67.529999,59.034679,7824800
2016-03-10,67.550003,68.040001,66.400002,67.410004,58.929790,10225800
