"Date","Price","Open","High","Low","Vol.","Change %"
"07/18/2022","93.00","89.01","93.50","88.80","21.83K","4.84%"
"07/15/2022","88.71","83.50","88.71","82.54","15.23K","5.97%"
"07/14/2022","83.71","88.06","88.22","83.71","23.70K","-4.56%"
"07/13/2022","87.71","90.18","90.67","86.20","21.97K","-3.45%"
"07/12/2022","90.84","94.84","94.90","90.84","14.89K","-4.22%"
"07/11/2022","94.84","95.88","96.69","92.70","11.28K","3.30%"
"07/08/2022","91.81","88.50","92.00","85.37","13.74K","-0.08%"
"07/07/2022","91.88","88.61","92.40","88.10","18.43K","3.69%"
"07/06/2022","88.61","93.45","94.13","88.50","31.59K","-5.21%"
"07/05/2022","93.48","97.40","97.47","93.48","19.60K","-4.10%"
"07/01/2022","97.48","98.84","99.00","94.90","18.25K","-1.38%"
"06/30/2022","98.84","98.01","99.49","95.56","19.83K","1.40%"
"06/29/2022","97.48","93.79","97.48","93.23","16.33K","4.28%"
"06/28/2022","93.48","92.10","99.05","91.20","34.63K","-0.61%"
"06/27/2022","94.05","97.50","98.05","94.05","20.71K","-4.08%"
"06/24/2022","98.05","101.55","102.80","97.33","29.68K","-3.88%"
"06/23/2022","102.01","108.05","108.41","101.51","32.58K","-5.61%"
"06/22/2022","108.07","114.00","114.09","107.85","32.86K","-5.08%"
"06/21/2022","113.85","117.50","117.93","113.27","24.54K","-3.75%"
"06/17/2022","118.29","119.07","119.80","117.81","12.01K","-17.68%"
"06/16/2022","143.70","143.42","147.50","143.42","","0.57%"
"06/15/2022","142.88","143.53","145.44","142.53","","-0.45%"
"06/14/2022","143.53","145.71","145.74","143.41","","-1.69%"
"06/13/2022","146.00","145.32","146.09","143.88","","0.28%"
"06/10/2022","145.59","146.71","147.50","144.53","","-0.70%"
"06/09/2022","146.62","140.42","146.62","139.61","","4.49%"
"06/08/2022","140.32","137.40","141.81","137.09","","2.28%"
"06/07/2022","137.19","137.58","138.43","136.09","","-0.44%"
"06/06/2022","137.79","139.39","141.56","136.99","","-0.78%"
"06/03/2022","138.88","139.14","140.68","136.06","","-0.17%"
"06/02/2022","139.12","136.10","140.60","134.16","","2.17%"
"06/01/2022","136.16","139.25","139.56","135.61","","-2.02%"
"05/31/2022","138.97","139.44","141.87","138.67","","-0.17%"
"05/27/2022","139.20","140.53","141.97","139.06","","-0.94%"
"05/26/2022","140.52","144.67","145.33","140.38","","-2.94%"
"05/25/2022","144.77","141.53","147.12","140.76","","2.21%"
"05/24/2022","141.64","142.73","142.76","140.70","","-0.69%"
"05/23/2022","142.62","142.85","144.92","140.84","","-0.13%"
"05/20/2022","142.81","147.31","147.96","141.87","","-3.06%"
"05/19/2022","147.32","144.12","148.82","141.13","","1.75%"
"05/18/2022","144.78","148.60","149.15","143.18","","-2.64%"
"05/17/2022","148.70","150.45","151.93","148.28","","-1.34%"
"05/16/2022","150.72","145.84","150.97","145.75","","3.59%"
"05/13/2022","145.50","145.59","146.58","143.56","","0.14%"
"05/12/2022","145.29","143.51","147.94","143.10","","1.19%"
"05/11/2022","143.58","143.00","144.91","142.38","","0.19%"
"05/10/2022","143.31","142.69","145.21","142.14","","0.39%"
"05/09/2022","142.75","143.34","148.18","142.62","","-0.49%"
"05/06/2022","143.46","148.11","148.67","143.39","","-3.56%"
"05/05/2022","148.76","154.28","155.15","148.76","","-3.86%"
"05/04/2022","154.74","150.07","155.93","149.14","","3.16%"
"05/03/2022","150.00","151.38","152.90","148.31","","-0.45%"
"05/02/2022","150.68","146.94","151.27","145.09","","2.99%"
"04/29/2022","146.31","149.02","151.09","144.52","","-0.93%"
"04/28/2022","147.68","142.47","147.68","140.79","","4.98%"
"04/27/2022","140.68","136.47","140.68","135.84","","3.34%"
"04/26/2022","136.13","135.20","136.99","134.77","","0.49%"
"04/25/2022","135.47","136.01","136.08","132.34","","-0.62%"
"04/22/2022","136.32","137.98","138.00","135.01","","-1.09%"
"04/21/2022","137.82","138.66","139.12","136.91","","-0.61%"
"04/20/2022","138.67","138.59","141.10","138.03","","0.15%"
"04/19/2022","138.46","143.52","143.85","137.63","","-3.35%"
"04/18/2022","143.26","141.47","144.02","141.38","","0.77%"
"04/14/2022","142.17","143.13","146.12","140.75","","-0.55%"
"04/13/2022","142.95","138.56","143.37","137.53","","3.10%"
"04/12/2022","138.65","135.35","139.14","135.19","","2.42%"
"04/11/2022","135.37","132.62","136.28","131.61","","2.23%"
"04/08/2022","132.42","133.30","134.58","132.29","","-0.69%"
"04/07/2022","133.34","135.75","136.44","132.90","","-1.76%"
"04/06/2022","135.73","137.63","138.41","135.15","","-1.44%"
"04/05/2022","137.71","138.10","140.43","136.88","","-0.03%"
"04/04/2022","137.75","134.79","138.59","134.79","","2.18%"
"04/01/2022","134.81","136.01","137.47","134.13","","-0.51%"
