"Date","Price","Open","High","Low","Vol.","Change %"
"10/05/2022","20,290.00","20,300.00","20,225.00","20,250.00","0.52K","0.41%"
"10/04/2022","20,207.00","20,275.00","20,275.00","20,275.00","0.63K","0.74%"
"10/03/2022","20,059.00","20,400.00","20,150.00","20,250.00","1.06K","-2.79%"
"09/30/2022","20,634.00","20,750.00","20,700.00","20,750.00","0.52K","0.54%"
"09/29/2022","20,523.00","20,800.00","20,550.00","20,600.00","0.91K","-0.99%"
"09/28/2022","20,728.00","21,000.00","20,990.00","20,995.00","1.08K","0.23%"
"09/27/2022","20,680.00","21,000.00","20,850.00","20,900.00","1.01K","0.19%"
"09/26/2022","20,640.00","20,500.00","20,400.00","20,500.00","1.34K","1.96%"
"09/23/2022","20,243.00","21,400.00","21,300.00","21,400.00","1.28K","-6.50%"
"09/22/2022","21,650.00","21,700.00","21,735.00","21,625.00","0.79K","2.27%"
"09/21/2022","21,170.00","21,500.00","21,350.00","21,355.00","1.03K","-0.05%"
"09/20/2022","21,181.00","21,050.00","21,050.00","21,050.00","0.75K","1.13%"
"09/19/2022","20,945.00","20,700.00","20,350.00","20,450.00","0.66K","-0.91%"
"09/16/2022","21,137.00","21,000.00","20,905.00","20,905.00","0.66K","1.57%"
"09/15/2022","20,810.00","21,050.00","20,800.00","20,825.00","0.61K","-1.73%"
"09/14/2022","21,177.00","21,200.00","21,050.00","21,050.00","0.87K","-0.95%"
"09/13/2022","21,380.00","22,100.00","21,995.00","22,000.00","1.39K","-0.38%"
"09/12/2022","21,461.00","21,400.00","21,350.00","21,400.00","0.33K","1.40%"
"09/09/2022","21,165.00","21,600.00","21,400.00","21,200.00","0.53K","-0.83%"
"09/08/2022","21,342.00","21,600.00","21,600.00","21,600.00","0.66K","2.35%"
"09/07/2022","20,851.00","20,700.00","20,475.00","20,500.00","0.99K","-1.67%"
"09/06/2022","21,206.00","21,600.00","21,400.00","21,500.00","0.65K","-1.94%"
"09/05/2022","21,625.00","21,700.00","21,700.00","21,700.00","0.51K","2.22%"
"09/02/2022","21,155.00","21,250.00","21,195.00","19,750.00","1.67K","0.45%"
"09/01/2022","21,060.00","21,650.00","21,600.00","21,650.00","2.43K","-7.60%"
"08/31/2022","22,793.00","23,200.00","23,100.00","23,000.00","1.09K","-3.63%"
"08/30/2022","23,652.00","24,000.00","23,595.00","23,600.00","1.07K","-4.44%"
"08/26/2022","24,750.00","24,300.00","24,200.00","24,300.00","0.96K","1.81%"
"08/25/2022","24,310.00","24,500.00","24,200.00","24,200.00","0.48K","0.12%"
"08/24/2022","24,280.00","24,550.00","24,555.00","24,550.00","0.36K","-0.92%"
"08/23/2022","24,505.00","24,200.00","24,100.00","24,200.00","0.78K","0.16%"
"08/22/2022","24,465.00","24,200.00","24,200.00","24,200.00","0.38K","-1.33%"
"08/19/2022","24,795.00","24,650.00","24,600.00","24,650.00","0.43K","0.81%"
"08/18/2022","24,595.00","24,425.00","24,400.00","24,425.00","0.41K","-0.26%"
"08/17/2022","24,660.00","24,600.00","24,500.00","24,600.00","0.30K","0.24%"
"08/16/2022","24,600.00","24,500.00","24,400.00","24,500.00","1.09K","-0.49%"
"08/15/2022","24,721.00","24,500.00","24,200.00","24,300.00","0.63K","-1.81%"
"08/12/2022","25,177.00","25,000.00","24,805.00","24,805.00","1.03K","-0.82%"
"08/11/2022","25,385.00","24,800.00","24,745.00","24,750.00","1.73K","3.44%"
"08/10/2022","24,541.00","23,900.00","23,800.00","23,710.00","1.13K","0.47%"
"08/09/2022","24,426.00","24,250.00","24,150.00","24,200.00","0.96K","0.52%"
"08/08/2022","24,300.00","23,200.00","23,100.00","23,000.00","0.97K","-0.63%"
"08/05/2022","24,455.00","25,100.00","24,800.00","24,700.00","0.44K","-0.37%"
"08/04/2022","24,545.00","24,440.00","24,350.00","24,400.00","0.41K","1.24%"
