Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,95.370003,95.589996,93.720001,94.809998,90.862015,6378700
2016-01-05,95.379997,95.830002,94.410004,94.989998,91.034561,4352500
2016-01-06,93.489998,94.389999,92.980003,93.349998,89.642159,4370000
2016-01-07,91.559998,92.370003,90.680000,91.639999,88.000061,6600000
2016-01-08,91.970001,92.239998,89.720001,89.889999,86.319557,5912100
2016-01-11,90.250000,91.099998,89.290001,90.580002,86.982170,5845600
2016-01-12,91.610001,91.870003,90.120003,91.440002,87.807999,4441800
2016-01-13,92.070000,92.150002,88.750000,89.190002,85.647377,4895000
2016-01-14,89.400002,91.690002,89.160004,90.709999,87.106995,6235800
2016-01-15,88.089996,89.279999,87.820000,88.709999,85.186432,6459800
2016-01-19,89.559998,89.739998,85.489998,86.220001,82.795349,10175200
2016-01-20,84.709999,85.959999,83.519997,85.129997,81.748634,11672100
2016-01-21,85.230003,87.529999,84.559998,86.120003,82.699326,5989700
2016-01-22,87.730003,88.830002,87.400002,88.000000,84.504646,4912500
2016-01-25,88.029999,88.190002,86.650002,86.769997,83.323494,5110500
2016-01-26,87.000000,87.500000,86.400002,87.000000,83.544373,4872500
2016-01-27,86.889999,87.050003,84.339996,84.809998,81.441345,6750900
2016-01-28,85.339996,85.650002,83.349998,83.430000,80.116158,9169600
2016-01-29,81.449997,89.250000,81.000000,89.029999,85.493713,16410500
2016-02-01,88.519997,89.199997,87.230003,88.629997,85.109627,5956400
2016-02-02,87.680000,87.739998,85.370003,85.930000,82.516861,7096900
2016-02-03,86.559998,86.760002,84.459999,86.470001,83.035400,5253600
2016-02-04,86.239998,86.870003,85.739998,86.330002,82.900970,4490600
2016-02-05,86.040001,86.320000,82.180000,82.760002,79.472778,8474000
2016-02-08,81.440002,81.739998,79.870003,80.650002,77.446579,9213800
2016-02-09,78.870003,83.230003,78.519997,81.970001,78.714149,7802700
2016-02-10,83.059998,84.839996,82.930000,83.309998,80.000954,4858900
2016-02-11,80.150002,82.790001,79.980003,82.110001,78.848595,6285400
2016-02-12,83.620003,85.269997,83.309998,84.889999,81.518166,5213300
2016-02-16,86.120003,86.589996,85.360001,86.180000,82.756943,4908000
2016-02-17,86.930000,87.599998,86.589996,87.209999,83.746025,4143400
2016-02-18,86.580002,87.449997,85.830002,86.040001,82.622490,3551500
2016-02-19,85.650002,86.860001,85.220001,86.790001,83.342697,3490500
2016-02-22,86.790001,88.230003,86.790001,87.820000,84.331802,3010800
2016-02-23,87.260002,87.849998,85.930000,86.209999,82.785744,4236900
2016-02-24,85.139999,86.760002,84.589996,86.419998,82.987396,3361300
2016-02-25,86.550003,87.430000,85.519997,87.419998,83.947678,3280500
2016-02-26,88.110001,88.589996,87.489998,87.570000,84.091721,3294900
2016-02-29,87.300003,88.830002,86.900002,86.919998,83.467522,4302900
2016-03-01,87.769997,90.129997,87.720001,90.099998,86.521225,4967500
2016-03-02,89.760002,90.089996,88.989998,89.889999,86.319557,3898300
2016-03-03,89.730003,90.139999,88.919998,89.739998,86.175499,4202500
2016-03-04,90.000000,90.559998,89.500000,90.050003,86.473228,3181300
2016-03-07,89.690002,89.750000,87.440002,88.300003,84.792717,4939800
2016-03-08,87.459999,87.760002,86.809998,86.849998,83.400314,4251700
2016-03-09,87.209999,87.599998,86.699997,87.180000,83.717216,3477800
2016-03-10,87.660004,88.199997,85.930000,86.889999,83.438713,3239100
2016-03-11,87.910004,89.160004,87.779999,88.580002,85.061600,4003200
2016-03-14,88.529999,89.129997,88.019997,88.870003,85.340080,4407400
2016-03-15,88.360001,89.699997,88.199997,89.360001,85.810616,4468800
2016-03-16,89.220001,90.320000,89.019997,90.010002,86.434792,3005000
2016-03-17,89.919998,91.660004,89.660004,91.410004,87.779213,4568900
2016-03-18,92.010002,92.440002,91.449997,92.309998,88.643425,5972900
2016-03-21,91.860001,92.629997,91.559998,92.349998,88.681870,3176900
2016-03-22,91.680000,92.209999,91.540001,91.760002,88.115288,3541300
2016-03-23,91.879997,92.650002,91.639999,92.129997,88.470604,2816100
2016-03-24,91.300003,91.970001,91.300003,91.910004,88.259331,2618700
2016-03-28,92.180000,92.300003,91.180000,91.239998,87.615944,2304300
2016-03-29,91.220001,93.040001,91.099998,92.779999,89.094765,3326300
2016-03-30,93.550003,94.169998,93.300003,93.809998,90.083855,3477900
2016-03-31,93.680000,94.940002,93.519997,94.500000,90.746475,5647100
2016-04-01,93.650002,96.110001,93.500000,95.870003,92.062050,5276900
2016-04-04,96.010002,96.099998,94.459999,95.050003,91.274628,4449900
2016-04-05,94.099998,95.410004,93.889999,94.349998,90.602432,5378300
2016-04-06,94.199997,94.839996,93.839996,94.750000,91.170135,3334200
2016-04-07,94.169998,94.260002,93.040001,93.510002,89.976959,3046500
2016-04-08,94.089996,94.660004,93.419998,93.790001,90.246391,2564000
2016-04-11,93.919998,94.680000,93.389999,93.470001,89.938492,3858200
2016-04-12,93.760002,93.989998,93.139999,93.860001,90.313744,2673700
2016-04-13,94.500000,95.750000,94.389999,95.750000,92.132339,3698600
2016-04-14,95.720001,96.769997,95.410004,96.169998,92.536453,3292200
2016-04-15,96.250000,97.309998,96.139999,96.680000,93.027222,4127600
2016-04-18,96.639999,97.790001,96.599998,97.669998,93.979797,3079700
2016-04-19,98.000000,98.160004,96.349998,97.239998,93.566055,3635900
2016-04-20,97.660004,98.400002,97.050003,97.900002,94.201103,3627300
2016-04-21,97.949997,98.089996,97.349998,97.540001,93.854713,2913600
2016-04-22,96.389999,98.489998,96.389999,97.449997,93.768112,7176300
2016-04-25,96.790001,97.320000,96.540001,96.980003,93.315880,3276100
2016-04-26,97.160004,97.610001,96.730003,97.269997,93.594925,2929200
2016-04-27,97.239998,98.610001,96.550003,98.379997,94.662964,5211900
