"Date","Price","Open","High","Low","Vol.","Change %"
"07/28/2022","119.12","119.45","120.70","118.83","7.35K","0.44%"
"07/27/2022","118.60","117.55","118.80","117.50","7.36K","1.39%"
"07/26/2022","116.97","117.30","117.80","116.28","7.16K","-0.21%"
"07/25/2022","117.22","118.05","118.45","115.55","10.87K","-1.25%"
"07/22/2022","118.70","115.75","118.90","115.72","12.82K","2.06%"
"07/21/2022","116.30","115.95","116.85","115.38","10.41K","1.24%"
"07/20/2022","114.88","114.00","115.17","113.60","13.91K","1.82%"
"07/19/2022","112.83","111.53","113.22","110.70","12.55K","0.63%"
"07/18/2022","112.12","111.78","112.72","111.33","16.81K","-2.42%"
"07/15/2022","114.90","114.75","115.10","114.70","0.83K","-0.02%"
"07/14/2022","114.92","114.62","114.97","114.55","1.67K","0.37%"
"07/13/2022","114.50","114.20","114.75","114.10","2.37K","0.79%"
"07/12/2022","113.60","113.15","113.83","112.95","2.22K","0.40%"
"07/11/2022","113.15","113.25","113.47","112.50","3.07K","0.27%"
"07/08/2022","112.85","113.25","113.33","112.60","2.96K","-0.35%"
"07/07/2022","113.25","113.38","113.58","112.67","4.85K","0.09%"
"07/06/2022","113.15","112.78","114.42","112.38","7.68K","0.89%"
"07/05/2022","112.15","110.10","112.58","110.00","4.81K","2.23%"
"07/03/2022","109.70","109.70","109.70","109.70","","0.09%"
"07/01/2022","109.60","109.80","110.28","109.05","4.45K","0.44%"
"06/30/2022","109.12","109.80","110.65","108.58","6.01K","-0.26%"
"06/29/2022","109.40","109.10","109.85","108.88","4.98K","-0.47%"
"06/28/2022","109.92","109.88","110.55","109.42","5.52K","-0.23%"
"06/27/2022","110.17","111.58","111.97","110.10","5.85K","-0.68%"
"06/24/2022","110.92","109.30","111.33","109.03","7.34K","2.18%"
"06/23/2022","108.55","111.90","112.40","108.28","10.07K","-2.95%"
"06/22/2022","111.85","112.60","112.88","111.50","7.59K","-0.77%"
"06/21/2022","112.72","110.85","112.92","110.50","14.46K","1.66%"
"06/19/2022","110.88","110.88","110.88","110.88","","-0.11%"
"06/17/2022","111.00","110.80","111.47","110.08","11.75K","1.30%"
"06/16/2022","109.58","107.58","109.92","107.47","9.71K","1.20%"
"06/15/2022","108.28","106.00","108.85","105.62","13.10K","-0.16%"
"06/14/2022","108.45","108.20","108.55","108.08","2.10K","0.42%"
"06/13/2022","108.00","107.80","108.12","107.62","3.01K","0.19%"
"06/10/2022","107.80","107.62","108.05","107.45","2.39K","0.78%"
"06/09/2022","106.97","106.80","107.15","106.05","4.20K","-0.82%"
"06/08/2022","107.85","108.35","108.80","107.20","4.20K","-0.53%"
"06/07/2022","108.42","108.67","109.03","108.12","5.65K","-0.73%"
"06/06/2022","109.22","109.78","109.78","108.20","7.40K","-0.89%"
"06/03/2022","110.20","110.50","110.70","109.88","4.29K","0.14%"
"06/02/2022","110.05","110.85","111.17","109.78","4.41K","0.23%"
"06/01/2022","109.80","109.00","110.12","108.60","6.62K","1.69%"
"05/31/2022","107.97","109.45","109.45","107.30","6.98K","-2.00%"
"05/29/2022","110.18","110.18","110.18","110.18","","-0.20%"
"05/27/2022","110.40","110.42","111.58","109.97","6.56K","-0.63%"
"05/26/2022","111.10","109.58","111.60","107.83","8.30K","1.88%"
"05/25/2022","109.05","109.88","111.17","108.05","8.25K","0.02%"
"05/24/2022","109.03","109.42","110.00","107.25","9.06K","-1.22%"
"05/23/2022","110.38","109.35","110.75","108.50","8.88K","1.38%"
"05/20/2022","108.88","105.00","109.25","104.00","12.40K","3.40%"
"05/19/2022","105.30","105.80","106.47","105.00","6.22K","-0.75%"
"05/18/2022","106.10","104.78","106.42","102.47","11.26K","0.90%"
"05/17/2022","105.15","104.20","105.45","102.60","14.70K","1.27%"
"05/16/2022","103.83","101.45","104.58","101.40","15.71K","3.83%"
"05/13/2022","100.00","99.92","100.15","99.90","0.56K","-0.10%"
"05/12/2022","100.10","100.30","100.50","99.88","0.29K","-0.81%"
"05/11/2022","100.92","100.60","100.95","100.28","0.24K","-0.16%"
"05/10/2022","101.08","101.53","101.78","100.30","0.30K","0.20%"
"05/09/2022","100.88","101.42","101.42","100.28","0.58K","-1.29%"
"05/06/2022","102.20","102.50","102.85","101.70","0.50K","-0.58%"
"05/05/2022","102.80","102.50","102.97","102.05","0.17K","0.19%"
"05/04/2022","102.60","100.30","102.70","100.30","0.42K","2.83%"
"05/03/2022","99.78","100.17","101.28","99.00","0.56K","-0.10%"
"05/02/2022","99.88","100.70","101.47","97.88","0.58K","-1.01%"
"04/29/2022","100.90","103.47","103.47","100.58","1.04K","-2.95%"
"04/28/2022","103.97","104.03","104.53","102.58","0.29K","-0.19%"
"04/27/2022","104.17","105.40","105.78","103.90","0.39K","-0.98%"
"04/26/2022","105.20","107.75","108.12","104.72","0.53K","-2.41%"
"04/25/2022","107.80","110.60","110.72","107.10","0.50K","-3.62%"
"04/22/2022","111.85","110.85","112.78","110.40","0.71K","0.90%"
"04/21/2022","110.85","112.28","112.67","110.03","0.28K","-1.44%"
"04/20/2022","112.47","114.50","114.50","112.05","0.40K","-1.94%"
"04/19/2022","114.70","115.62","117.05","114.50","0.57K","-1.57%"
"04/18/2022","116.53","112.75","116.70","112.75","0.24K","16.67%"
"04/14/2022","99.88","99.95","99.97","99.72","0.94K","-0.02%"
"04/13/2022","99.90","99.85","99.92","99.45","2.34K","0.28%"
"04/12/2022","99.62","98.75","99.80","98.67","2.01K","1.22%"
"04/11/2022","98.42","98.80","98.85","98.20","2.09K","-0.62%"
"04/08/2022","99.03","99.00","99.17","98.33","2.10K","-0.02%"
"04/07/2022","99.05","99.00","99.45","98.10","3.92K","0.30%"
"04/06/2022","98.75","98.33","98.92","97.47","4.37K","1.11%"
"04/05/2022","97.67","100.08","100.20","96.58","5.78K","-1.79%"
"04/04/2022","99.45","101.08","101.20","99.25","7.09K","-1.83%"
"04/01/2022","101.30","102.10","102.75","101.17","4.74K","-0.44%"
"03/31/2022","101.75","105.85","105.85","101.65","7.00K","-2.66%"
"03/30/2022","104.53","105.17","105.85","104.30","6.87K","-1.43%"
"03/29/2022","106.05","106.58","106.67","105.10","6.10K","-1.42%"
"03/28/2022","107.58","107.85","108.45","106.53","6.48K","0.10%"
"03/25/2022","107.47","103.67","107.53","103.35","13.36K","4.56%"
"03/24/2022","102.78","102.55","103.53","102.05","6.14K","0.22%"
"03/23/2022","102.55","101.40","102.75","101.40","9.52K","2.29%"
"03/22/2022","100.25","100.50","100.50","99.58","6.45K","-0.37%"
"03/21/2022","100.62","99.88","101.95","99.58","10.18K","1.23%"
"03/18/2022","99.40","100.62","101.62","99.22","12.48K","-0.95%"
"03/17/2022","100.35","102.62","102.83","99.88","13.59K","-1.98%"
"03/16/2022","102.38","103.58","104.70","102.03","14.74K","-0.02%"
"03/15/2022","102.40","102.72","102.72","101.53","10.09K","0.20%"
"03/14/2022","102.20","102.00","102.62","101.10","16.07K","-0.51%"
"03/11/2022","102.72","100.15","103.10","99.97","24.82K","2.62%"
"03/10/2022","100.10","101.50","102.33","99.83","27.94K","-1.04%"
"03/09/2022","101.15","103.20","103.30","100.78","27.51K","-1.72%"
"03/08/2022","102.92","101.17","103.58","100.92","27.01K","2.63%"
"03/07/2022","100.28","100.00","102.78","98.47","34.03K","-0.17%"
"03/04/2022","100.45","104.17","104.25","100.45","31.92K","-4.52%"
"03/03/2022","105.20","107.45","107.45","105.05","20.33K","-1.03%"
"03/02/2022","106.30","106.90","107.10","104.40","19.88K","0.09%"
"03/01/2022","106.20","103.65","106.75","103.03","19.51K","2.61%"
"02/28/2022","103.50","103.67","104.50","102.88","18.93K","-0.16%"
"02/25/2022","103.67","105.53","106.42","103.55","20.69K","-1.76%"
"02/24/2022","105.53","109.35","109.65","105.40","23.89K","-2.31%"
"02/23/2022","108.03","112.20","112.85","107.78","27.72K","-3.61%"
"02/22/2022","112.08","109.25","112.65","108.92","19.56K","2.71%"
"02/20/2022","109.13","109.13","109.13","109.13","","-0.25%"
"02/18/2022","109.40","109.33","109.83","107.92","17.62K","1.69%"
"02/17/2022","107.58","105.50","108.08","104.83","16.55K","2.07%"
"02/16/2022","105.40","105.00","106.53","104.75","15.99K","1.20%"
"02/15/2022","104.15","102.60","105.10","102.08","16.86K","13.68%"
"02/14/2022","91.62","91.15","91.65","91.05","1.79K","1.24%"
"02/11/2022","90.50","90.50","90.67","90.08","2.52K","0.37%"
"02/10/2022","90.17","90.72","90.85","90.12","3.08K","-0.06%"
"02/09/2022","90.22","90.22","90.35","89.47","3.75K","-0.12%"
"02/08/2022","90.33","88.15","90.55","87.90","7.24K","3.00%"
