"Date","Price","Open","High","Low","Vol.","Change %"
"08/23/2022","19.064","18.885","19.180","18.775","0.32K","0.77%"
"08/22/2022","18.918","19.050","19.050","18.660","0.22K","0.08%"
"08/21/2022","18.902","19.010","19.010","18.885","","-1.11%"
"08/19/2022","19.114","19.445","19.445","19.005","0.06K","-2.02%"
"08/18/2022","19.508","19.810","19.920","19.460","0.03K","-1.36%"
"08/17/2022","19.776","20.205","20.205","19.710","0.10K","-1.75%"
"08/16/2022","20.128","20.265","20.265","20.070","0.03K","-0.93%"
"08/15/2022","20.317","20.810","20.810","20.120","0.04K","-2.17%"
"08/14/2022","20.767","20.823","20.835","20.758","","0.12%"
"08/12/2022","20.743","20.260","20.780","20.260","0.04K","1.71%"
"08/11/2022","20.394","20.610","20.630","20.550","0.11K","-1.90%"
"08/10/2022","20.790","20.545","20.800","20.415","0.05K","1.26%"
"08/09/2022","20.531","20.670","20.760","20.475","0.03K","-0.64%"
"08/08/2022","20.664","19.825","20.730","19.825","0.12K","4.52%"
"08/07/2022","19.770","19.810","19.815","19.758","","-0.61%"
"08/05/2022","19.892","20.110","20.110","19.660","0.10K","-1.39%"
"08/04/2022","20.173","20.015","20.150","19.990","0.03K","1.13%"
"08/03/2022","19.947","19.920","20.035","19.920","0.02K","-1.20%"
"08/02/2022","20.189","20.189","20.189","20.189","64.54K","-1.09%"
"08/01/2022","20.412","20.412","20.412","20.412","58.52K","1.03%"
"07/31/2022","20.203","20.328","20.330","20.177","","-0.22%"
"07/29/2022","20.247","20.247","20.247","20.247","64.59K","1.65%"
"07/28/2022","19.918","19.918","19.918","19.918","86.52K","7.09%"
"07/27/2022","18.600","18.535","19.095","18.360","62.26K","0.35%"
"07/26/2022","18.535","18.330","18.620","18.285","40.82K","1.13%"
"07/25/2022","18.328","18.540","18.675","18.195","43.12K","-1.55%"
"07/22/2022","18.617","18.785","18.880","18.420","47.28K","-0.54%"
"07/21/2022","18.719","18.610","18.805","18.120","58.42K","0.27%"
"07/20/2022","18.668","18.695","19.030","18.565","42.47K","-0.24%"
"07/19/2022","18.713","18.655","18.845","18.510","36.80K","-0.67%"
"07/18/2022","18.840","18.675","18.950","18.585","42.25K","1.32%"
"07/15/2022","18.594","18.335","18.695","18.095","53.07K","2.02%"
"07/14/2022","18.225","19.180","19.180","18.010","82.27K","-5.05%"
"07/13/2022","19.194","18.870","19.360","18.790","63.75K","1.24%"
"07/12/2022","18.958","19.055","19.135","18.630","53.27K","-0.91%"
"07/11/2022","19.132","19.265","19.310","19.015","38.60K","-0.54%"
"07/08/2022","19.236","19.170","19.390","18.935","43.11K","0.25%"
"07/07/2022","19.188","19.170","19.435","19.035","42.48K","0.15%"
"07/06/2022","19.159","19.155","19.325","18.705","66.25K","0.20%"
"07/05/2022","19.121","19.880","20.100","18.970","85.00K","0.00%"
"07/04/2022","19.121","19.880","20.100","18.970","85.00K","-2.78%"
"07/01/2022","19.667","20.290","20.290","19.295","75.67K","-3.37%"
"06/30/2022","20.352","20.725","20.785","20.145","61.10K","-1.86%"
"06/29/2022","20.738","20.840","21.065","20.610","53.00K","-0.48%"
"06/28/2022","20.839","21.170","21.330","20.770","0.67K","-1.60%"
"06/27/2022","21.178","21.245","21.500","21.140","0.30K","0.18%"
"06/24/2022","21.139","21.010","21.210","20.600","0.39K","0.39%"
"06/23/2022","21.056","21.435","21.500","20.930","0.40K","-1.91%"
"06/22/2022","21.465","21.555","21.620","21.250","0.35K","-1.60%"
"06/21/2022","21.813","21.600","21.990","21.590","0.16K","0.21%"
"06/20/2022","21.768","21.520","21.950","21.430","64.99K","0.61%"
"06/17/2022","21.635","21.970","21.975","21.620","0.05K","-1.34%"
"06/16/2022","21.928","21.705","21.960","21.455","0.03K","2.17%"
"06/15/2022","21.463","21.260","21.600","21.260","0.06K","2.20%"
"06/14/2022","21.000","21.120","21.350","20.950","0.05K","-1.43%"
"06/13/2022","21.305","22.080","22.085","21.000","0.06K","-3.07%"
"06/10/2022","21.979","21.575","22.030","21.325","0.04K","0.53%"
"06/09/2022","21.864","22.135","22.135","21.600","0.10K","-1.28%"
"06/08/2022","22.148","22.120","22.285","22.115","0.28K","-0.38%"
"06/07/2022","22.233","22.310","22.310","22.310","0.25K","0.39%"
"06/06/2022","22.147","22.310","22.580","22.140","0.23K","0.84%"
"06/03/2022","21.963","21.970","22.005","21.960","0.22K","-1.64%"
"06/02/2022","22.330","21.950","22.380","21.950","0.57K","1.68%"
"06/01/2022","21.962","21.540","21.895","21.540","0.02K","1.04%"
"05/31/2022","21.737","21.815","21.900","21.655","0.01K","0.23%"
"05/30/2022","21.688","22.150","22.310","21.455","67.95K","-2.03%"
"05/27/2022","22.138","22.138","22.138","22.138","38.41K","0.79%"
"05/26/2022","21.965","21.975","22.075","21.730","29.70K","0.43%"
"05/25/2022","21.870","22.115","22.145","21.725","32.08K","-0.87%"
"05/24/2022","22.063","21.770","22.215","21.645","36.83K","1.57%"
"05/23/2022","21.723","21.780","22.205","21.660","41.17K","0.23%"
"05/20/2022","21.674","21.965","22.080","21.580","34.79K","-1.07%"
"05/19/2022","21.908","21.430","22.010","21.250","41.28K","1.69%"
"05/18/2022","21.544","21.665","21.750","21.365","33.87K","-0.95%"
"05/17/2022","21.750","21.650","21.925","21.520","39.23K","0.92%"
"05/16/2022","21.551","21.105","21.710","20.835","46.63K","2.62%"
"05/13/2022","21.001","20.635","21.125","20.420","58.68K","1.10%"
"05/12/2022","20.773","21.555","21.625","20.590","82.00K","-3.72%"
"05/11/2022","21.575","21.210","21.970","21.200","80.77K","0.70%"
"05/10/2022","21.424","21.770","22.085","21.155","78.50K","-1.81%"
"05/09/2022","21.820","22.395","22.395","21.650","80.20K","-2.45%"
"05/06/2022","22.367","22.520","22.665","22.110","59.54K","-0.34%"
"05/05/2022","22.443","23.040","23.345","22.325","71.88K","0.18%"
"05/04/2022","22.402","22.600","23.125","22.220","58.06K","-1.16%"
"05/03/2022","22.665","22.700","22.890","22.440","43.73K","0.36%"
"05/02/2022","22.584","22.785","22.880","22.130","56.21K","-2.17%"
"04/29/2022","23.085","23.230","23.650","22.710","55.33K","-0.41%"
"04/28/2022","23.181","23.365","23.455","22.940","57.59K","-1.29%"
"04/27/2022","23.483","23.650","23.780","23.325","0.67K","-0.38%"
"04/26/2022","23.572","23.790","23.980","23.495","0.39K","-0.53%"
"04/25/2022","23.698","24.180","24.180","23.540","0.18K","-2.40%"
"04/22/2022","24.280","24.640","24.690","24.145","0.52K","-1.53%"
"04/21/2022","24.657","25.300","25.300","24.520","0.33K","-2.55%"
"04/20/2022","25.303","25.210","25.390","25.065","0.15K","-0.48%"
"04/19/2022","25.426","26.045","26.170","25.295","0.22K","-2.88%"
"04/18/2022","26.181","26.110","26.480","26.095","0.18K","1.73%"
"04/14/2022","25.735","25.950","26.135","25.580","0.06K","-1.25%"
"04/13/2022","26.060","25.620","26.065","25.620","0.14K","1.13%"
"04/12/2022","25.769","25.275","25.830","25.130","0.08K","2.99%"
"04/11/2022","25.022","24.985","25.580","24.860","0.20K","0.63%"
"04/08/2022","24.866","24.795","24.960","24.700","0.31K","0.33%"
"04/07/2022","24.785","24.515","24.780","24.515","0.30K","1.13%"
"04/06/2022","24.509","24.625","24.625","24.625","0.29K","-0.32%"
"04/05/2022","24.588","24.900","25.065","24.500","0.29K","-0.19%"
"04/04/2022","24.636","24.750","25.010","24.490","0.46K","-0.21%"
"04/01/2022","24.689","24.980","24.980","24.935","0.01K","-1.86%"
"03/31/2022","25.158","24.780","25.130","24.780","0.03K","0.05%"
"03/30/2022","25.146","25.146","25.146","25.146","38.79K","1.66%"
"03/29/2022","24.736","25.010","25.135","24.045","76.19K","-1.83%"
"03/28/2022","25.196","25.725","25.795","24.940","46.26K","-1.64%"
"03/25/2022","25.615","25.850","26.035","25.470","37.91K","-1.18%"
"03/24/2022","25.920","25.285","26.160","25.170","61.00K","2.90%"
"03/23/2022","25.189","24.915","25.370","24.780","34.15K","1.14%"
"03/22/2022","24.904","25.410","25.590","24.695","45.76K","-1.62%"
