Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,63.950001,64.059998,63.009998,63.619999,52.617466,25393200
2016-01-05,63.700001,64.129997,63.040001,63.730000,52.708439,16566700
2016-01-06,62.720001,63.130001,62.340000,62.810001,51.947544,22961500
2016-01-07,61.459999,62.000000,60.080002,60.270000,49.846817,27630900
2016-01-08,61.130001,61.270000,58.849998,58.919998,48.730278,22373300
2016-01-11,58.830002,59.220001,58.040001,58.830002,48.655857,20925500
2016-01-12,59.450001,59.560001,58.099998,58.959999,48.763367,22971600
2016-01-13,59.459999,59.680000,56.910000,57.340000,47.423527,28808100
2016-01-14,58.160000,59.380001,57.290001,58.200001,48.134800,31296300
2016-01-15,56.450001,57.570000,56.220001,57.040001,47.175419,38131700
2016-01-19,57.730000,57.970001,56.509998,57.009998,47.150597,22818900
2016-01-20,55.630001,56.180000,54.660000,55.509998,45.910011,34646100
2016-01-21,55.740002,56.520000,55.060001,55.250000,45.694984,31301100
2016-01-22,56.439999,57.160000,56.299999,56.950001,47.100983,22732200
2016-01-25,56.480000,56.849998,55.599998,55.660000,46.034077,21114400
2016-01-26,55.849998,57.150002,55.810001,57.080002,47.208504,17535700
2016-01-27,57.080002,58.270000,56.560001,57.040001,47.175419,20560000
2016-01-28,57.520000,57.970001,56.630001,57.279999,47.373913,15497900
2016-01-29,57.830002,59.540001,57.509998,59.500000,49.209984,26992200
2016-02-01,59.160000,59.650002,58.439999,58.860001,48.680656,16807900
2016-02-02,57.880001,57.980000,56.750000,57.029999,47.167137,22448200
2016-02-03,57.369999,57.799999,55.020000,57.410000,47.481426,31543200
2016-02-04,57.060001,58.520000,57.060001,58.400002,48.300209,21651300
2016-02-05,58.580002,59.139999,57.419998,57.750000,47.762623,22001300
2016-02-08,56.689999,56.919998,55.540001,56.540001,46.761887,28267600
2016-02-09,55.290001,56.689999,55.130001,56.200001,46.480690,26300000
2016-02-10,56.570000,57.410000,55.470001,55.520000,45.918285,22389600
2016-02-11,53.900002,53.910000,52.500000,53.070000,43.891998,44334700
2016-02-12,55.650002,57.570000,55.169998,57.490002,47.547585,37011400
2016-02-16,58.230000,58.599998,57.639999,58.349998,48.258862,23730700
2016-02-17,58.849998,59.250000,58.389999,58.770000,48.606224,21580100
2016-02-18,58.840000,58.860001,57.250000,57.810001,47.812248,17037800
2016-02-19,57.500000,58.169998,57.080002,57.820000,47.820522,15658200
2016-02-22,58.509998,58.880001,58.419998,58.570000,48.440811,14882800
2016-02-23,57.900002,58.090000,55.959999,56.119999,46.414516,31772500
2016-02-24,55.200001,56.209999,54.330002,56.139999,46.431046,25560100
2016-02-25,56.130001,57.029999,56.040001,57.009998,47.150597,14473300
2016-02-26,57.639999,58.110001,57.139999,57.540001,47.588947,20947500
2016-02-29,57.410000,57.610001,56.290001,56.299999,46.563396,19554100
2016-03-01,56.759998,59.200001,56.669998,59.200001,48.961864,23958100
2016-03-02,59.200001,59.900002,58.959999,59.759998,49.425014,20943100
2016-03-03,59.580002,59.959999,59.099998,59.959999,49.590427,15790600
2016-03-04,60.099998,60.549999,59.529999,60.049999,49.664852,18459000
2016-03-07,59.540001,60.049999,59.320000,59.939999,49.573879,12832400
2016-03-08,59.209999,59.500000,58.680000,58.779999,48.614491,14132900
2016-03-09,59.150002,59.540001,58.680000,59.119999,48.895695,13238800
2016-03-10,59.590000,59.669998,57.810001,58.610001,48.473892,21139200
2016-03-11,59.389999,59.509998,58.650002,59.340000,49.077641,21055000
2016-03-14,59.150002,59.310001,58.599998,59.119999,48.895695,13436100
2016-03-15,58.540001,59.209999,58.430000,59.200001,48.961864,10910500
2016-03-16,58.980000,59.750000,58.470001,58.919998,48.730278,17423900
2016-03-17,58.770000,59.130001,57.990002,58.750000,48.589676,19405700
